epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.762,1.913,3.08038,1.396,0.48843,0.26028,0.40697,0.15456,2.19394,2.46217,1.31278,0.0809652,9.56522e-05,9.56522e-05
2,314.828,1.36791,1.2927,1.07074,0.51874,0.57613,0.4851,0.188,2.05041,1.94778,1.43108,0.0610265,0.000156913,0.000156913
3,515.844,1.2244,1.17373,1.01316,0.54278,0.66198,0.59034,0.22166,1.92948,1.57975,1.41967,0.0410481,0.000178574,0.000178574
4,663.004,1.11291,1.07557,0.98482,0.71781,0.76465,0.77466,0.50482,1.11057,0.98149,0.95049,0.0210302,0.000160635,0.000160635
5,829.453,1.0291,0.94505,0.95082,0.68403,0.80404,0.78015,0.57048,0.98269,0.88848,0.91249,0.000972661,0.000103096,0.000103096
