epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2563,1.86305,4.50124,1.6284,0,0,0,0,1.32169,4.06469,1.25346,0.1,0,0
2,20.0939,1.83004,4.84034,1.5447,0,0,0,0,1.23691,4.0776,1.22486,0.099004,4.01e-06,4.01e-06
3,28.5233,1.91189,4.47479,1.60516,0,0,0,0,1.18648,4.05118,1.19278,0.098006,6.04e-06,6.04e-06
4,37.2672,1.79118,4.36158,1.55518,0,0,0,0,1.17797,4.03605,1.1772,0.0970061,6.09e-06,6.09e-06
5,46.9902,2.0483,4.51075,1.70153,0,0,0,0,1.1595,3.99554,1.16903,0.0960042,4.16e-06,4.16e-06
