Dataset,Model,Epochs,mAP@50,mAP@50-95,Precision,Recall
iml_lifecycle,YOLO11,100,0.9546,0.7775,0.901,0.9111
iml_lifecycle,YOLO12,100,0.8909,0.7198,0.8933,0.9303
md_2019_stages,YOLO11,100,0.6908,0.5719,0.6535,0.7222
md_2019_stages,YOLO12,100,0.7133,0.553,0.6811,0.7167
mp_idb_species,YOLO11,100,0.9322,0.6293,0.9043,0.887
mp_idb_species,YOLO12,100,0.9244,0.6227,0.8601,0.9091
mp_idb_stages,YOLO11,100,0.9382,0.5979,0.9199,0.9119
mp_idb_stages,YOLO12,100,0.9516,0.5946,0.9523,0.8453
