epoch,train_loss,train_acc,val_loss,val_acc
1,0.055743,76.59,0.047102,79.55
2,0.040498,81.83,0.042706,78.72
3,0.036808,84.06,0.041803,80.79
4,0.029457,86.28,0.058728,77.89
5,0.035163,83.95,0.042819,80.99
6,0.035377,83.69,0.054315,80.37
7,0.030895,86.39,0.039456,82.64
8,0.037012,83.05,0.047658,81.40
9,0.040700,83.26,0.037686,78.93
10,0.035135,83.69,0.029558,84.30
11,0.040971,81.57,0.044709,77.89
12,0.037247,83.85,0.042943,77.27
13,0.039474,82.52,0.046181,81.20
14,0.044410,81.14,0.046235,79.34
15,0.039857,82.63,0.037866,81.61
16,0.034926,82.63,0.038021,81.40
17,0.037586,82.94,0.029036,84.71
18,0.037427,84.00,0.034753,85.12
19,0.032920,85.54,0.039666,84.09
20,0.035890,84.96,0.048305,80.99
21,0.035150,83.32,0.034093,80.79
22,0.034545,83.85,0.057557,76.45
23,0.035584,82.79,0.040943,85.54
24,0.033674,84.69,0.035538,84.30
25,0.032498,84.80,0.041433,81.82
26,0.027604,87.18,0.043904,81.20
27,0.029272,85.59,0.084590,75.41
28,0.030202,85.22,0.036762,80.58
29,0.028260,86.60,0.034335,82.23
30,0.028013,87.08,0.038817,81.20
31,0.027068,86.33,0.044368,83.47
32,0.028431,86.18,0.042249,82.85
33,0.024255,88.08,0.034247,82.85
34,0.028014,87.13,0.033746,82.64
35,0.023132,87.87,0.029730,82.85
36,0.024182,87.61,0.032021,85.54
37,0.025790,87.29,0.039455,84.92
38,0.021172,88.72,0.037716,84.92
39,0.021443,88.88,0.041607,82.23
40,0.021641,89.46,0.041439,82.23
41,0.025479,87.50,0.041764,84.09
42,0.019945,89.35,0.037216,85.12
43,0.019312,89.94,0.042628,82.64
44,0.017564,91.95,0.046804,84.92
45,0.013480,93.49,0.036980,84.92
46,0.013611,93.38,0.048319,83.88
47,0.014744,92.43,0.041607,84.71
48,0.014216,92.80,0.054553,80.37
49,0.013403,93.43,0.039705,85.54
50,0.011473,94.01,0.042279,84.09
51,0.011760,93.70,0.047042,84.09
52,0.009850,95.02,0.044601,85.74
53,0.009254,95.23,0.056534,83.68
54,0.009769,94.81,0.045944,84.92
55,0.008301,95.66,0.056571,85.54
56,0.005395,97.25,0.057904,85.74
57,0.006811,96.82,0.052491,85.12
58,0.005077,97.25,0.068372,84.30
59,0.005431,97.56,0.059636,85.33
60,0.003664,97.88,0.064459,86.36
61,0.002799,98.78,0.066585,84.30
62,0.002971,98.52,0.072516,84.71
63,0.004686,97.83,0.075096,83.88
64,0.002755,98.57,0.071404,83.47
65,0.002903,98.62,0.073267,84.09
66,0.002037,98.94,0.072539,84.50
67,0.002021,99.10,0.073850,84.09
68,0.002383,99.15,0.070873,84.71
69,0.001761,99.26,0.069464,84.92
70,0.002910,98.46,0.075441,84.09
71,0.001495,99.15,0.072221,84.50
72,0.002266,98.89,0.069919,84.50
73,0.002802,98.73,0.071161,84.09
74,0.001796,99.05,0.069424,84.71
75,0.001364,99.31,0.074668,84.71
