epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.72857,1.82682,4.82121,1.91048,0.05644,0.42268,0.06485,0.042,1.04918,3.93077,1.12534,0.091045,4.5e-05,4.5e-05
2,6.92274,1.13682,1.75667,1.25117,0.48101,0.39175,0.47295,0.25963,1.90863,4.08651,1.64035,0.0810762,7.619e-05,7.619e-05
3,10.1632,1.06952,0.92337,1.14284,0.88889,0.08247,0.48942,0.34405,1.4741,5.89567,1.35418,0.0710876,8.758e-05,8.758e-05
4,13.7684,1.01534,0.78216,1.12178,0.88235,0.30928,0.6008,0.39152,1.48576,4.72378,1.36254,0.0610792,7.917e-05,7.917e-05
5,16.9823,1.00466,0.78709,1.09669,0.84444,0.78351,0.83869,0.48494,1.60573,2.31058,1.45323,0.051051,5.096e-05,5.096e-05
