Class,Metric,densenet121
Overall,accuracy,0.9151
Overall,balanced_accuracy,0.8977
gametocyte,precision,0.9792
gametocyte,recall,0.9592
gametocyte,f1_score,0.9691
gametocyte,support,49.0
ring,precision,0.85
ring,recall,1.0
ring,f1_score,0.9189
ring,support,34.0
schizont,precision,1.0
schizont,recall,1.0
schizont,f1_score,1.0
schizont,support,4.0
trophozoite,precision,0.8571
trophozoite,recall,0.6316
trophozoite,f1_score,0.7273
trophozoite,support,19.0
