Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.8427,0.8652,0.8427,0.8427,0.809,0.8876
Overall,balanced_accuracy,0.7429,0.7512,0.7362,0.7238,0.6999,0.7958
gametocyte,precision,0.95,0.907,0.95,0.8696,0.8478,0.9512
gametocyte,recall,0.9268,0.9512,0.9268,0.9756,0.9512,0.9512
gametocyte,f1_score,0.9383,0.9286,0.9383,0.9195,0.8966,0.9512
gametocyte,support,41.0,41.0,41.0,41.0,41.0,41.0
ring,precision,0.8571,0.8667,0.8621,0.8889,0.9565,0.96
ring,recall,0.8571,0.9286,0.8929,0.8571,0.7857,0.8571
ring,f1_score,0.8571,0.8966,0.8772,0.8727,0.8627,0.9057
ring,support,28.0,28.0,28.0,28.0,28.0,28.0
schizont,precision,0.5,0.6667,0.3333,0.5,0.6667,0.5
schizont,recall,0.5,0.5,0.5,0.5,0.5,0.5
schizont,f1_score,0.5,0.5714,0.4,0.5,0.5714,0.5
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0
trophozoite,precision,0.6471,0.7692,0.7143,0.75,0.5294,0.7368
trophozoite,recall,0.6875,0.625,0.625,0.5625,0.5625,0.875
trophozoite,f1_score,0.6667,0.6897,0.6667,0.6429,0.5455,0.8
trophozoite,support,16.0,16.0,16.0,16.0,16.0,16.0
