epoch,train_loss,train_acc,val_loss,val_acc
1,0.188939,32.81,0.199068,29.25
2,0.142889,61.72,0.167122,47.17
3,0.104000,70.31,0.135723,59.43
4,0.068805,83.20,0.097576,66.04
5,0.036795,87.89,0.065064,73.58
6,0.031235,88.28,0.056996,70.75
7,0.020576,89.84,0.077800,75.47
8,0.016104,93.36,0.132585,66.98
9,0.012379,94.53,0.066051,79.25
10,0.034938,91.80,0.106058,71.70
11,0.034961,90.62,0.336110,53.77
12,0.028909,88.67,0.245078,66.98
13,0.036956,88.28,0.313152,82.08
14,0.047232,83.20,0.151366,61.32
15,0.062227,83.20,0.172661,73.58
16,0.049727,91.02,0.258883,80.19
17,0.049825,83.59,0.150094,68.87
18,0.041636,85.16,0.145410,81.13
19,0.028163,86.72,0.192731,53.77
20,0.033445,89.06,0.163881,56.60
21,0.025717,90.62,0.899823,62.26
22,0.022034,94.14,0.238640,71.70
23,0.016642,93.75,0.172291,79.25
24,0.022841,93.36,0.162389,74.53
25,0.039350,87.89,0.218215,53.77
26,0.022787,92.58,0.058379,89.62
27,0.030794,92.19,0.156594,78.30
28,0.025826,91.41,0.130861,68.87
29,0.023993,95.31,0.036691,88.68
30,0.019984,92.19,0.069352,81.13
31,0.023115,91.41,0.090272,78.30
32,0.011796,96.48,0.060963,88.68
33,0.020050,94.53,0.037524,90.57
34,0.011110,96.88,0.050012,86.79
35,0.011673,95.70,0.102989,75.47
36,0.011649,94.14,0.072655,81.13
37,0.007734,96.48,0.092054,74.53
38,0.006902,96.48,0.060111,81.13
39,0.012494,95.31,0.013072,97.17
40,0.017980,93.75,0.027017,84.91
41,0.023900,94.53,0.024747,89.62
42,0.013773,95.31,0.062955,77.36
43,0.011296,95.70,0.043547,88.68
44,0.009272,95.70,0.043220,89.62
45,0.005812,98.05,0.036271,90.57
46,0.006707,97.27,0.036775,89.62
47,0.007376,97.27,0.033355,92.45
48,0.004672,98.44,0.040630,90.57
49,0.008870,98.44,0.050565,90.57
50,0.003162,99.61,0.058458,89.62
51,0.006530,97.66,0.042342,91.51
52,0.002138,99.22,0.027885,93.40
53,0.001067,99.61,0.019376,94.34
