epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3113,5.50272,11.4339,2.97181,0.00048,0.01604,0.00044,0.00033,6.08903,8.6835,3.29432,0.09403,3e-05,3e-05
2,29.9162,4.24912,5.62683,2.3254,0.48371,0.3262,0.37702,0.12958,4.53246,4.0946,2.03482,0.0870644,6.43565e-05,6.43565e-05
3,46.2814,3.8338,3.53737,2.03035,0.55456,0.49465,0.52882,0.21852,4.06837,4.43985,1.9241,0.080098,9.802e-05,9.802e-05
4,60.2761,3.44388,2.74266,1.97887,0.69057,0.50802,0.60854,0.27309,3.97903,3.46771,1.94053,0.073131,0.00013099,0.00013099
5,74.9802,3.15659,2.17735,1.95389,0.6603,0.76471,0.72969,0.31025,4.0178,3.22952,1.96528,0.0661633,0.000163268,0.000163268
6,90.0875,3.25292,2.34568,1.98319,0.65705,0.72995,0.66711,0.33001,3.70304,3.05068,1.92225,0.0591949,0.000194853,0.000194853
7,104.27,3.47789,2.13007,2.02131,0.59346,0.71658,0.61699,0.28582,3.82858,3.71534,1.97065,0.0522257,0.000225744,0.000225744
8,119.253,3.25388,1.95938,1.90599,0.82819,0.7861,0.8555,0.4355,3.55731,2.96905,1.91375,0.0452559,0.000255943,0.000255943
9,136.383,3.14178,2.02642,1.88869,0.79898,0.81818,0.82694,0.36224,4.04265,3.1099,2.038,0.0382854,0.000285448,0.000285448
10,150.761,3.20449,1.93736,1.89554,0.71399,0.76094,0.74601,0.33707,3.90929,2.03061,2.07105,0.0313143,0.000314261,0.000314261
11,168.905,3.66724,2.02004,1.9913,0.67769,0.64706,0.66699,0.28687,4.21003,2.46651,2.1203,0.0243424,0.00034238,0.00034238
12,182.425,3.09413,1.7602,1.87996,0.76397,0.65773,0.71033,0.30884,4.02091,3.19231,1.98306,0.0173698,0.000369806,0.000369806
13,195.274,2.98216,1.60928,1.85679,0.76826,0.70027,0.7914,0.35311,3.84555,2.47977,1.95153,0.0103965,0.00039654,0.00039654
14,207.646,3.22483,1.82996,1.86121,0.68235,0.70856,0.75771,0.35545,3.83583,2.27604,1.9682,0.00342258,0.00042258,0.00042258
15,223.864,3.0719,1.65458,1.88633,0.75964,0.66578,0.77568,0.41933,3.40559,2.27971,1.86131,0.0004307,0.0004307,0.0004307
16,241.528,3.0261,1.64882,1.94327,0.78219,0.8162,0.84934,0.44026,3.46584,1.9276,1.87094,0.00042575,0.00042575,0.00042575
17,255.012,3.12626,2.07568,1.9097,0.8131,0.81424,0.84716,0.43094,3.49066,1.70875,1.87634,0.0004208,0.0004208,0.0004208
18,268.11,2.98893,1.6794,1.87006,0.81879,0.80948,0.84252,0.36756,3.86822,1.96035,1.94384,0.00041585,0.00041585,0.00041585
19,282.023,2.8545,1.62207,1.8552,0.83293,0.8262,0.85787,0.42627,3.48744,1.70009,1.87527,0.0004109,0.0004109,0.0004109
20,296.351,2.85854,1.57766,1.80695,0.84584,0.84492,0.86937,0.4283,3.54747,1.76431,1.86903,0.00040595,0.00040595,0.00040595
21,310.033,3.06674,1.56423,1.80917,0.84533,0.83298,0.87306,0.47672,3.30896,1.61006,1.83325,0.000401,0.000401,0.000401
22,325.717,2.81103,1.45292,1.81322,0.85107,0.83422,0.89104,0.45352,3.4746,1.69319,1.85927,0.00039605,0.00039605,0.00039605
23,342.032,2.72811,1.36876,1.81536,0.82884,0.77273,0.84767,0.43178,3.50598,1.73782,1.8822,0.0003911,0.0003911,0.0003911
24,355.182,3.27522,1.59392,1.93202,0.87763,0.81818,0.88153,0.4571,3.5156,1.67504,1.85682,0.00038615,0.00038615,0.00038615
25,368.733,2.91094,1.3986,1.80579,0.76395,0.81551,0.85029,0.43507,3.64863,2.05961,1.93975,0.0003812,0.0003812,0.0003812
26,384.381,2.93996,1.5195,1.81071,0.80339,0.80481,0.85474,0.47473,3.25641,1.86343,1.84803,0.00037625,0.00037625,0.00037625
27,400.233,2.87636,1.51041,1.81406,0.78591,0.67728,0.75343,0.36333,3.65643,2.338,1.91101,0.0003713,0.0003713,0.0003713
28,414.729,2.79513,1.45724,1.81075,0.76075,0.66043,0.7407,0.40972,3.53815,2.29426,1.9204,0.00036635,0.00036635,0.00036635
29,427.687,2.59738,1.30763,1.79153,0.7586,0.65241,0.71642,0.36935,3.77122,2.14516,1.95036,0.0003614,0.0003614,0.0003614
30,441.8,2.7076,1.41055,1.83316,0.7816,0.76203,0.79772,0.43669,3.47428,1.77862,1.90514,0.00035645,0.00035645,0.00035645
31,456.493,2.71464,1.65222,1.86868,0.84085,0.77807,0.83161,0.46659,3.29238,1.7852,1.87407,0.0003515,0.0003515,0.0003515
32,472.392,2.89606,1.44403,1.81459,0.84364,0.83673,0.86925,0.48829,3.15203,1.50261,1.83741,0.00034655,0.00034655,0.00034655
33,487.099,2.89918,1.4457,1.83176,0.85394,0.80749,0.85777,0.46596,3.27126,1.58799,1.8436,0.0003416,0.0003416,0.0003416
34,500.624,2.80046,1.57921,1.76275,0.84048,0.81818,0.8565,0.45793,3.29062,1.6217,1.84256,0.00033665,0.00033665,0.00033665
35,515.529,3.00632,1.44752,1.82502,0.8287,0.84078,0.86495,0.4375,3.39894,1.77467,1.84545,0.0003317,0.0003317,0.0003317
36,530.711,2.8719,1.35899,1.7947,0.78549,0.80284,0.80975,0.42068,3.28033,5.20914,1.836,0.00032675,0.00032675,0.00032675
