Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.8202,0.8764,0.8202,0.8427,0.8315,0.8652
Overall,balanced_accuracy,0.7088,0.764,0.7116,0.7333,0.7502,0.7484
gametocyte,precision,0.975,0.9302,0.95,0.9286,0.9024,0.9302
gametocyte,recall,0.9512,0.9756,0.9268,0.9512,0.9024,0.9756
gametocyte,f1_score,0.963,0.9524,0.9383,0.9398,0.9024,0.9524
gametocyte,support,41.0,41.0,41.0,41.0,41.0,41.0
ring,precision,0.7931,0.9259,0.8571,0.8276,0.9167,0.8621
ring,recall,0.8214,0.8929,0.8571,0.8571,0.7857,0.8929
ring,f1_score,0.807,0.9091,0.8571,0.8421,0.8462,0.8772
ring,support,28.0,28.0,28.0,28.0,28.0,28.0
schizont,precision,0.4,0.5,0.3333,0.6667,0.6667,0.6667
schizont,recall,0.5,0.5,0.5,0.5,0.5,0.5
schizont,f1_score,0.4444,0.5,0.4,0.5714,0.5714,0.5714
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0
trophozoite,precision,0.6,0.7333,0.6,0.6667,0.619,0.7143
trophozoite,recall,0.5625,0.6875,0.5625,0.625,0.8125,0.625
trophozoite,f1_score,0.5806,0.7097,0.5806,0.6452,0.7027,0.6667
trophozoite,support,16.0,16.0,16.0,16.0,16.0,16.0
