epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.282,2.30638,3.84573,1.1674,0.01204,0.53589,0.02518,0.00785,2.02198,3.62403,0.98472,0.000657534,0.000657534,0.000657534
2,123.813,2.01311,2.61712,1.01666,0.44866,0.46411,0.44863,0.19042,1.93432,2.46055,1.01322,0.000887215,0.000887215,0.000887215
3,182.501,1.82351,2.60473,0.9776,0.57035,0.52632,0.55571,0.24651,1.82674,2.30152,1.00407,0.000676895,0.000676895,0.000676895
