Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.9982,0.9982,0.9982,0.9982,0.9982,0.9982
Overall,balanced_accuracy,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987
ring,precision,1.0,1.0,1.0,1.0,1.0,1.0
ring,recall,1.0,1.0,1.0,1.0,1.0,1.0
ring,f1_score,1.0,1.0,1.0,1.0,1.0,1.0
ring,support,168.0,168.0,168.0,168.0,168.0,168.0
schizont,precision,1.0,1.0,1.0,1.0,1.0,1.0
schizont,recall,0.9962,0.9962,0.9962,0.9962,0.9962,0.9962
schizont,f1_score,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981
schizont,support,261.0,261.0,261.0,261.0,261.0,261.0
trophozoite,precision,0.9915,0.9915,0.9915,0.9915,0.9915,0.9915
trophozoite,recall,1.0,1.0,1.0,1.0,1.0,1.0
trophozoite,f1_score,0.9957,0.9957,0.9957,0.9957,0.9957,0.9957
trophozoite,support,117.0,117.0,117.0,117.0,117.0,117.0
