Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.9264,0.9465,0.9264,0.9431,0.9465,0.9264
Overall,balanced_accuracy,0.6022,0.7106,0.7194,0.5643,0.5571,0.6718
gametocyte,precision,0.6667,1.0,0.6667,0.5,0.4,1.0
gametocyte,recall,0.4,0.6,0.8,0.2,0.4,0.4
gametocyte,f1_score,0.5,0.75,0.7273,0.2857,0.4,0.5714
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0
ring,precision,0.9742,0.9745,0.974,0.9611,0.9714,0.974
ring,recall,0.9706,0.9853,0.9632,1.0,1.0,0.9632
ring,f1_score,0.9724,0.9799,0.9686,0.9802,0.9855,0.9686
ring,support,272.0,272.0,272.0,272.0,272.0,272.0
schizont,precision,0.8,0.6667,0.8333,0.6667,0.5,0.8571
schizont,recall,0.5714,0.8571,0.7143,0.8571,0.4286,0.8571
schizont,f1_score,0.6667,0.75,0.7692,0.75,0.4615,0.8571
schizont,support,7.0,7.0,7.0,7.0,7.0,7.0
trophozoite,precision,0.35,0.5,0.3333,0.6,0.75,0.3333
trophozoite,recall,0.4667,0.4,0.4,0.2,0.4,0.4667
trophozoite,f1_score,0.4,0.4444,0.3636,0.3,0.5217,0.3889
trophozoite,support,15.0,15.0,15.0,15.0,15.0,15.0
