Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.12,0.96,0.72,0.32,0.12,0.52
Overall,balanced_accuracy,0.3333,0.8889,0.7712,0.5752,0.3333,0.5346
ring,precision,0.0,0.8333,0.8333,0.8333,0.0,1.0
ring,recall,0.0,1.0,1.0,1.0,0.0,0.8
ring,f1_score,0.0,0.9091,0.9091,0.9091,0.0,0.8889
ring,support,5.0,5.0,5.0,5.0,5.0,5.0
schizont,precision,0.0,1.0,1.0,1.0,0.0,0.7273
schizont,recall,0.0,1.0,0.6471,0.0588,0.0,0.4706
schizont,f1_score,0.0,1.0,0.7857,0.1111,0.0,0.5714
schizont,support,17.0,17.0,17.0,17.0,17.0,17.0
trophozoite,precision,0.1304,1.0,0.25,0.1111,0.12,0.1
trophozoite,recall,1.0,0.6667,0.6667,0.6667,1.0,0.3333
trophozoite,f1_score,0.2308,0.8,0.3636,0.1905,0.2143,0.1538
trophozoite,support,3.0,3.0,3.0,3.0,3.0,3.0
