epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.56482,1.32823,0.5,1,1.26038,0.0002125,0.0002125,0.0002125
2,3.09459,1.15749,0.5,1,1.09196,0.000423062,0.000423062,0.000423062
3,4.50964,1.01129,0.64286,1,0.91775,0.000618775,0.000618775,0.000618775
4,5.94624,0.89786,0.78571,1,0.72695,0.000799638,0.000799638,0.000799638
5,7.3627,0.73591,0.85714,1,0.62132,0.00096565,0.00096565,0.00096565
6,8.79599,0.70763,0.92857,1,0.45033,0.00104375,0.00104375,0.00104375
7,10.2401,0.66341,0.92857,1,0.36214,0.0010025,0.0010025,0.0010025
8,11.6349,0.55715,0.92857,1,0.29574,0.00096125,0.00096125,0.00096125
9,13.0492,0.54163,0.89286,1,0.29967,0.00092,0.00092,0.00092
10,14.4698,0.45019,0.85714,1,0.32928,0.00087875,0.00087875,0.00087875
11,15.9619,0.38796,0.85714,1,0.2986,0.0008375,0.0008375,0.0008375
12,17.3301,0.35487,0.89286,1,0.26691,0.00079625,0.00079625,0.00079625
13,18.7209,0.47059,0.89286,1,0.36256,0.000755,0.000755,0.000755
14,20.1747,0.45714,0.85714,1,0.30692,0.00071375,0.00071375,0.00071375
15,21.5907,0.44138,0.89286,1,0.29094,0.0006725,0.0006725,0.0006725
16,22.996,0.33613,0.85714,1,0.36885,0.00063125,0.00063125,0.00063125
