epoch,train_loss,train_acc,val_loss,val_acc
1,0.057906,74.33,0.045534,81.40
2,0.043097,80.88,0.039075,82.74
3,0.038883,82.51,0.048056,79.46
4,0.034845,82.81,0.040857,79.46
5,0.036453,84.00,0.041639,81.25
6,0.034961,82.81,0.049251,79.02
7,0.044478,78.42,0.050795,77.38
8,0.037688,82.51,0.045587,76.64
9,0.040735,80.21,0.055849,77.68
10,0.040742,80.65,0.042293,82.89
11,0.041196,80.36,0.041624,81.70
12,0.035405,81.40,0.061854,73.81
13,0.046274,78.20,0.047788,82.14
14,0.046252,78.57,0.074349,70.68
15,0.044018,79.99,0.056782,74.70
16,0.044180,79.32,0.038244,82.44
17,0.041533,80.21,0.042648,82.74
18,0.041426,79.09,0.054929,77.53
19,0.037109,80.80,0.031618,84.38
20,0.037829,80.73,0.041794,76.64
21,0.035783,82.59,0.036221,83.33
22,0.037067,83.71,0.034692,83.18
23,0.034372,82.59,0.062101,75.74
24,0.038659,82.14,0.037242,80.21
25,0.035948,82.59,0.039861,84.23
26,0.030578,85.79,0.034812,86.01
27,0.034128,83.56,0.036878,83.04
28,0.024574,86.90,0.034983,83.78
29,0.033898,84.45,0.032849,84.97
30,0.027641,85.79,0.039298,82.89
31,0.028289,85.19,0.035816,82.74
32,0.026679,85.64,0.037036,84.08
33,0.029473,86.01,0.096292,72.92
34,0.030126,86.09,0.044208,81.10
35,0.030265,85.04,0.041275,79.61
36,0.030809,84.82,0.040632,84.23
37,0.026586,86.31,0.046082,81.99
38,0.022918,89.21,0.037398,83.18
39,0.021323,89.36,0.040592,83.48
40,0.019904,88.39,0.043901,81.70
41,0.021207,89.14,0.044559,84.52
42,0.018738,91.00,0.045984,84.52
43,0.021893,89.06,0.039909,83.33
44,0.016712,90.77,0.039878,85.27
45,0.014543,91.82,0.040239,83.33
46,0.014337,92.34,0.046830,84.52
47,0.013912,92.63,0.053984,82.59
48,0.016625,91.96,0.043661,83.04
49,0.015015,93.01,0.044898,84.38
50,0.013624,92.41,0.043709,83.33
51,0.010036,94.49,0.050371,83.04
52,0.010991,94.72,0.054734,83.93
53,0.012834,92.78,0.049570,84.08
54,0.009833,95.01,0.050985,85.27
55,0.009729,94.05,0.055400,83.33
56,0.009774,95.39,0.048133,84.52
57,0.006873,96.43,0.057623,84.67
58,0.005596,97.17,0.061413,84.08
59,0.004752,97.10,0.059209,86.31
60,0.009350,96.13,0.057836,84.23
61,0.006164,97.17,0.049539,84.23
62,0.006334,96.95,0.052657,83.18
63,0.004770,97.32,0.051999,83.63
64,0.003717,98.51,0.052011,85.42
65,0.003484,97.99,0.053161,85.57
66,0.003970,98.21,0.056777,84.97
67,0.003496,98.29,0.055071,86.16
68,0.003622,98.44,0.054578,85.42
69,0.003211,98.66,0.057092,85.57
70,0.002947,98.14,0.057515,86.16
71,0.002609,99.03,0.058770,85.86
72,0.003041,98.66,0.057322,85.86
73,0.002096,99.11,0.058028,86.16
74,0.003182,98.59,0.057593,86.01
