epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0106,1.41107,3.171,2.22995,0.00359,1,0.28513,0.15283,0.72832,3.9259,1.41102,0.0002125,0.0002125,0.0002125
2,54.132,0.52123,2.51665,1.31149,0.00416,1,0.35362,0.3357,0.37807,3.55079,0.74989,0.000423062,0.000423062,0.000423062
3,80.1294,0.42717,2.06258,1.15207,0.46178,0.7,0.52102,0.51415,0.29374,2.78812,0.49856,0.000618775,0.000618775,0.000618775
4,106.083,0.36516,1.81625,1.0807,0.72954,0.90415,0.92064,0.88192,0.34521,2.35224,0.65027,0.000799638,0.000799638,0.000799638
