Class,Metric,densenet121
Overall,accuracy,0.3208
Overall,balanced_accuracy,0.25
gametocyte,precision,0.0
gametocyte,recall,0.0
gametocyte,f1_score,0.0
gametocyte,support,49.0
ring,precision,0.3208
ring,recall,1.0
ring,f1_score,0.4857
ring,support,34.0
schizont,precision,0.0
schizont,recall,0.0
schizont,f1_score,0.0
schizont,support,4.0
trophozoite,precision,0.0
trophozoite,recall,0.0
trophozoite,f1_score,0.0
trophozoite,support,19.0
