epoch,train_loss,train_acc,val_loss,val_acc
1,0.021832,91.26,0.001150,100.00
2,0.004068,98.15,0.000808,99.79
3,0.006502,97.46,0.000549,99.59
4,0.004363,98.09,0.001410,99.59
5,0.003436,98.89,0.000540,99.79
6,0.008002,96.45,0.001943,98.97
7,0.007351,97.25,0.002599,98.76
8,0.005524,96.61,0.000162,99.79
9,0.004290,98.31,0.004575,99.17
10,0.004396,98.15,0.000754,99.38
11,0.001936,99.31,0.000134,100.00
12,0.015861,95.76,0.077628,93.80
13,0.020616,93.33,0.025622,98.76
14,0.011939,96.24,0.006794,96.69
15,0.003324,98.68,0.000049,100.00
16,0.004030,98.62,0.006041,98.35
17,0.003296,98.52,0.000372,99.79
18,0.006497,98.83,0.004099,97.93
19,0.010123,97.56,0.000092,100.00
20,0.004211,98.78,0.000104,100.00
21,0.003533,99.15,0.000000,100.00
22,0.001704,99.21,0.000006,100.00
23,0.003138,99.15,0.000660,99.59
24,0.007077,98.68,0.004494,98.97
25,0.038953,93.96,0.004451,98.55
26,0.011788,97.14,0.000061,100.00
27,0.002779,99.31,0.000014,100.00
28,0.002166,99.26,0.000040,100.00
29,0.003696,99.26,0.000012,100.00
30,0.001314,99.52,0.000099,100.00
31,0.001498,99.63,0.000786,99.38
32,0.001370,99.47,0.000004,100.00
33,0.001452,99.47,0.000001,100.00
