epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.9326,2.12692,3.89066,1.48083,0.20742,0.53294,0.22454,0.07683,1.83465,3.21897,1.23695,0.08408,8e-05,8e-05
2,224.822,1.47507,1.49001,1.18128,0.38724,0.521,0.42134,0.16695,2.1174,1.90354,1.70212,0.0671323,0.00013233,0.00013233
3,354.302,1.35545,1.29832,1.12203,0.36658,0.47368,0.36475,0.10624,2.23061,2.02498,1.86966,0.050151,0.000151,0.000151
4,470.421,1.21513,1.15092,1.07435,0.68526,0.62748,0.69485,0.46836,1.13356,1.18533,1.08148,0.033136,0.00013601,0.00013601
5,589.637,1.21346,1.10835,1.06279,0.60322,0.74219,0.68151,0.37634,1.2868,1.40522,1.13352,0.0160874,8.736e-05,8.736e-05
