epoch,train_loss,train_acc,val_loss,val_acc
1,0.023664,90.52,0.006026,95.87
2,0.003236,98.36,0.000391,99.79
3,0.005792,97.40,0.002083,98.76
4,0.007048,97.03,0.001466,99.79
5,0.004242,97.99,0.003780,98.14
6,0.007424,97.35,0.022345,89.67
7,0.012211,96.24,0.017090,91.32
8,0.012173,95.82,0.085672,66.32
9,0.012278,95.23,0.023371,85.12
10,0.009586,96.45,0.014763,92.77
11,0.010454,95.76,0.001828,99.38
12,0.005057,98.46,0.000403,99.79
13,0.004367,98.09,0.197596,58.26
14,0.004563,98.36,0.016316,89.88
15,0.003165,99.21,0.001657,99.17
16,0.002478,99.26,0.065766,79.34
17,0.007481,96.56,0.121991,71.49
18,0.014558,95.39,0.384771,71.28
19,0.012809,95.23,0.002945,98.97
20,0.005690,97.83,0.015386,90.08
21,0.003789,98.73,0.007971,94.42
22,0.004033,98.46,0.000190,100.00
23,0.003767,98.94,0.002686,97.93
24,0.003166,98.73,0.014604,90.08
25,0.002711,98.99,0.000241,100.00
26,0.001404,99.52,0.001136,99.79
27,0.003035,98.68,0.002478,99.59
28,0.001329,99.47,0.000035,100.00
29,0.003530,98.15,0.000395,99.79
30,0.000852,99.52,0.000008,100.00
31,0.001052,99.84,0.000124,100.00
