epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.87066,0,1,1,0,0.000653846,0.000653846,0.000653846
2,55.9875,0,1,1,0,0.00118978,0.00118978,0.00118978
3,160.146,0,1,1,0,0.00159372,0.00159372,0.00159372
4,199.961,0,1,1,0,0.001406,0.001406,0.001406
5,211.39,0,1,1,0,0.001208,0.001208,0.001208
6,223.149,0,1,1,0,0.00101,0.00101,0.00101
7,233.569,0,1,1,0,0.000812,0.000812,0.000812
8,244.647,0,1,1,0,0.000614,0.000614,0.000614
9,255.287,0,1,1,0,0.000416,0.000416,0.000416
10,265.17,0,1,1,0,0.000218,0.000218,0.000218
