epoch,train_loss,train_acc,val_loss,val_acc
1,0.076667,77.05,0.055167,90.48
2,0.020602,92.89,0.067000,89.42
3,0.019451,93.10,0.061599,85.19
4,0.011108,96.01,0.070809,91.01
5,0.014741,95.37,0.085755,78.31
6,0.015010,94.07,0.269931,78.84
7,0.034153,90.30,0.129128,91.01
8,0.044152,86.96,0.114212,84.13
9,0.043260,86.53,0.177491,80.95
10,0.038959,84.16,0.069309,87.30
11,0.036336,87.50,0.058517,91.53
12,0.034443,86.31,0.134040,82.01
13,0.045941,84.27,3.172955,80.42
14,0.038119,84.59,0.083131,72.49
15,0.042680,83.73,0.232141,80.95
16,0.034605,87.72,0.076975,71.96
17,0.040332,84.91,0.529419,66.14
18,0.034532,86.96,0.211193,84.13
19,0.030653,88.04,0.179478,55.03
20,0.041102,84.48,0.060712,86.77
21,0.026742,89.98,0.084639,82.54
22,0.024887,89.87,0.071687,91.01
23,0.014274,93.21,0.062285,90.48
24,0.019831,90.52,0.064607,92.06
25,0.020023,93.10,0.046294,92.59
26,0.010654,95.04,0.071937,92.06
27,0.012103,94.72,0.092750,91.01
28,0.022796,91.81,0.073105,90.48
29,0.011132,95.15,0.048475,91.01
30,0.020340,92.03,0.059741,93.12
31,0.018044,93.53,0.065798,90.48
32,0.010907,95.04,0.071618,90.48
33,0.008910,96.01,0.079840,88.36
34,0.007383,96.98,0.064494,89.95
35,0.007823,96.34,0.072609,92.06
36,0.005049,97.74,0.076920,91.53
37,0.004425,97.84,0.064938,89.95
38,0.004402,97.20,0.072403,90.48
