epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.9988,0,1,1,0,0.000663551,0.000663551,0.000663551
2,125.937,0,1,1,0,0.0011656,0.0011656,0.0011656
3,1026.23,0,1,1,0,0.00150266,0.00150266,0.00150266
4,2690.37,0,1,1,0,0.0012575,0.0012575,0.0012575
5,4120.01,0,1,1,0,0.00101,0.00101,0.00101
6,5317.09,0,1,1,0,0.0007625,0.0007625,0.0007625
7,6240.38,0,1,1,0,0.000515,0.000515,0.000515
8,7125.89,0,1,1,0,0.0002675,0.0002675,0.0002675
