image,img_width,img_height,gt_count,pred_count,matched_count,avg_iou,max_iou,min_iou,precision,recall
1312132815-0015-S.jpg,2592,1944,2,1,1,0.7567523,0.7567523,0.7567523,1.0,0.5
1703121298-0017-R.jpg,2592,1944,2,3,2,0.6169836,0.8035393,0.43042788,0.6666666666666666,1.0
1409191647-0003-R.jpg,2592,1944,4,4,4,0.6636752,0.84592915,0.47445625,1.0,1.0
1709041080-0018-R.jpg,2592,1944,2,3,2,0.78005433,0.9043077,0.6558009,0.6666666666666666,1.0
1707180816-0016-R.jpg,2592,1944,1,1,1,0.6732877,0.6732877,0.6732877,1.0,1.0
1409191647-0005-R.jpg,2592,1944,4,5,5,0.51996315,0.84002554,0.25507337,1.0,1.25
1709041080-0024-R.jpg,2592,1944,2,3,2,0.6208837,0.76413596,0.47763142,0.6666666666666666,1.0
1701151546-0013-R_T.jpg,2592,1944,30,46,36,0.7054023,0.8666485,0.38915566,0.782608695652174,1.2
1312132815-0016-T.jpg,2592,1944,1,5,1,0.69671124,0.69671124,0.69671124,0.2,1.0
1312132815-0010-T.jpg,2592,1944,1,1,1,0.6518466,0.6518466,0.6518466,1.0,1.0
1312132815-0003-G.jpg,2592,1944,1,2,1,0.75363517,0.75363517,0.75363517,0.5,1.0
1401063467-0006-T.jpg,2592,1944,1,1,1,0.69379395,0.69379395,0.69379395,1.0,1.0
1409171742-0007-R.jpg,2592,1944,4,4,4,0.78258055,0.9085226,0.66084313,1.0,1.0
1707180816-0019-S.jpg,2592,1944,1,2,1,0.6015727,0.6015727,0.6015727,0.5,1.0
1704282807-0019-R_G.jpg,2592,1944,41,44,41,0.7963149,0.9360626,0.40795118,0.9318181818181818,1.0
1703121298-0003-R.jpg,2592,1944,1,1,1,0.40290126,0.40290126,0.40290126,1.0,1.0
1709041080-0028-T.jpg,2592,1944,1,2,1,0.82126164,0.82126164,0.82126164,0.5,1.0
1405022890-0003-R.jpg,2592,1944,24,36,24,0.74036556,0.8962882,0.40774632,0.6666666666666666,1.0
1701151546-0014-R.jpg,2592,1944,67,78,64,0.54443365,0.89156824,0.11462418,0.8205128205128205,0.9552238805970149
1704282807-0011-R_T.jpg,2592,1944,16,20,18,0.8139814,0.9227565,0.69651747,0.9,1.125
1312132815-0002-T.jpg,2592,1944,1,1,1,0.6561885,0.6561885,0.6561885,1.0,1.0
