epoch,train_loss,train_acc,val_loss,val_acc
1,0.062468,72.80,0.048547,76.20
2,0.036339,83.22,0.038733,80.99
3,0.031753,84.03,0.038070,81.85
4,0.030208,85.07,0.037524,84.76
5,0.026585,86.57,0.036306,83.22
6,0.027235,87.15,0.046139,83.39
7,0.027729,87.62,0.057885,84.08
8,0.029074,86.17,0.047726,78.77
9,0.025823,88.02,0.041481,83.39
10,0.027200,87.38,0.049001,77.57
11,0.032285,84.43,0.047629,83.22
12,0.032623,84.55,0.037480,81.51
13,0.028781,85.94,0.133076,64.04
14,0.031385,85.71,0.042028,83.90
15,0.036272,82.35,0.072862,73.63
16,0.036035,83.45,0.058394,75.51
17,0.036402,83.45,0.072042,81.85
18,0.035003,82.93,0.096025,80.31
19,0.033655,85.01,0.047223,79.79
20,0.061468,78.07,0.368290,49.66
21,0.042989,79.57,0.057899,77.40
22,0.043164,81.77,0.038392,83.05
23,0.036205,84.49,0.042568,83.56
24,0.035242,84.38,0.043113,79.45
25,0.034975,83.74,0.056047,71.23
26,0.031138,84.78,0.041481,82.88
27,0.029156,85.19,0.042596,78.60
28,0.030964,84.49,0.043749,83.90
29,0.028822,85.65,0.039253,80.31
30,0.029316,86.05,0.040064,82.71
31,0.026146,86.34,0.043883,78.94
32,0.028017,86.86,0.035071,80.99
33,0.028399,85.76,0.036010,85.27
34,0.024235,88.89,0.044487,84.59
35,0.024838,87.44,0.036491,83.73
36,0.021454,87.56,0.040646,83.73
37,0.024834,87.38,0.039919,84.76
38,0.022941,87.79,0.040820,84.93
39,0.024785,88.25,0.043574,84.76
40,0.021580,89.99,0.037587,83.56
41,0.021664,88.60,0.043492,84.59
42,0.020505,89.41,0.036914,85.62
43,0.015087,93.06,0.047413,84.59
44,0.016625,91.20,0.042763,83.22
45,0.020180,90.34,0.048007,78.08
46,0.017650,90.74,0.042296,84.42
47,0.014970,91.49,0.042833,83.56
48,0.012980,92.77,0.054781,83.73
49,0.013088,93.06,0.065941,81.85
50,0.015867,92.25,0.054197,82.88
51,0.010882,94.10,0.055013,84.93
52,0.013488,93.34,0.053100,83.90
53,0.012758,93.06,0.047933,84.59
54,0.009675,95.43,0.048544,84.25
55,0.007734,95.54,0.057372,83.90
56,0.010322,94.85,0.055414,84.42
57,0.006812,96.30,0.062037,81.85
58,0.007489,95.83,0.060235,83.56
59,0.006531,95.49,0.062021,84.76
60,0.005227,97.34,0.063200,84.93
61,0.006028,97.05,0.065703,84.59
62,0.005431,97.16,0.064235,85.45
63,0.004869,97.80,0.063845,85.62
64,0.004349,97.74,0.063746,85.79
65,0.004375,98.21,0.068402,84.93
66,0.004538,97.74,0.068419,85.10
67,0.004163,98.09,0.067187,85.10
68,0.003208,98.38,0.069167,85.10
69,0.002620,98.55,0.069448,85.27
70,0.004553,97.74,0.068383,85.10
71,0.003573,98.38,0.070181,84.76
72,0.003386,98.44,0.068542,84.25
73,0.003480,98.03,0.070909,85.10
74,0.002727,98.78,0.070417,84.76
75,0.004818,97.34,0.071160,84.93
