Class,Metric,densenet121
Overall,accuracy,0.434
Overall,balanced_accuracy,0.6553
gametocyte,precision,1.0
gametocyte,recall,0.0204
gametocyte,f1_score,0.04
gametocyte,support,49.0
ring,precision,0.7742
ring,recall,0.7059
ring,f1_score,0.7385
ring,support,34.0
schizont,precision,0.2
schizont,recall,1.0
schizont,f1_score,0.3333
schizont,support,4.0
trophozoite,precision,0.3148
trophozoite,recall,0.8947
trophozoite,f1_score,0.4658
trophozoite,support,19.0
