Class,Metric,densenet121
Overall,accuracy,0.8962
Overall,balanced_accuracy,0.8714
gametocyte,precision,0.9792
gametocyte,recall,0.9592
gametocyte,f1_score,0.9691
gametocyte,support,49.0
ring,precision,0.8095
ring,recall,1.0
ring,f1_score,0.8947
ring,support,34.0
schizont,precision,0.8
schizont,recall,1.0
schizont,f1_score,0.8889
schizont,support,4.0
trophozoite,precision,0.9091
trophozoite,recall,0.5263
trophozoite,f1_score,0.6667
trophozoite,support,19.0
