Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.9437,0.9472,0.9542,0.9225,0.9507,0.9613
Overall,balanced_accuracy,0.6699,0.7031,0.7864,0.7791,0.7057,0.8304
gametocyte,precision,1.0,0.8,0.6667,0.8333,0.6,0.8333
gametocyte,recall,0.6,0.8,0.8,1.0,0.6,1.0
gametocyte,f1_score,0.75,0.8,0.7273,0.9091,0.6,0.9091
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0
ring,precision,0.9808,0.9771,0.9808,0.9801,0.9808,0.9808
ring,recall,0.9846,0.9884,0.9884,0.9498,0.9846,0.9884
ring,f1_score,0.9827,0.9827,0.9846,0.9647,0.9827,0.9846
ring,support,259.0,259.0,259.0,259.0,259.0,259.0
schizont,precision,0.4,0.5714,0.6,0.3333,0.8,0.625
schizont,recall,0.6667,0.6667,1.0,0.6667,0.6667,0.8333
schizont,f1_score,0.5,0.6154,0.75,0.4444,0.7273,0.7143
schizont,support,6.0,6.0,6.0,6.0,6.0,6.0
trophozoite,precision,0.5455,0.5,0.7143,0.4667,0.5714,0.7778
trophozoite,recall,0.4286,0.3571,0.3571,0.5,0.5714,0.5
trophozoite,f1_score,0.48,0.4167,0.4762,0.4828,0.5714,0.6087
trophozoite,support,14.0,14.0,14.0,14.0,14.0,14.0
