epoch,train_loss,train_acc,val_loss,val_acc
1,0.150268,52.27,0.128661,57.95
2,0.057501,82.95,0.047449,85.23
3,0.034574,88.07,0.068704,78.41
4,0.015173,95.45,0.082063,86.36
5,0.023798,91.19,0.104647,82.95
6,0.027095,91.48,0.182371,75.00
7,0.036356,88.07,0.143611,65.91
8,0.041879,86.65,0.265521,57.95
9,0.037886,84.09,0.071526,85.23
10,0.026277,89.20,0.121187,75.00
11,0.037454,88.92,0.276385,55.68
12,0.060397,79.83,0.570967,34.09
13,0.082476,75.85,10.323195,29.55
14,0.075504,74.43,0.612727,42.05
15,0.053826,83.52,0.146950,67.05
16,0.048565,84.38,0.052086,79.55
17,0.043207,83.52,0.067685,82.95
18,0.042527,83.81,0.112982,76.14
19,0.034232,86.36,0.197402,57.95
20,0.029771,87.50,0.083932,68.18
21,0.040008,84.09,0.132883,73.86
22,0.042904,84.94,0.056004,84.09
23,0.076640,71.88,0.073266,72.73
24,0.048497,86.36,0.231546,54.55
25,0.045223,84.94,0.083292,73.86
26,0.031868,88.35,0.069947,73.86
27,0.029212,88.35,0.176058,72.73
28,0.031718,86.65,0.039290,89.77
29,0.021645,91.76,0.044743,84.09
30,0.028348,90.34,0.198135,48.86
31,0.034395,87.50,0.069390,79.55
32,0.025302,88.92,0.067383,87.50
33,0.032900,88.92,0.076076,77.27
34,0.020065,91.76,0.044703,82.95
35,0.018166,91.76,0.033505,89.77
36,0.031015,87.78,0.046765,90.91
37,0.017783,92.33,0.066046,85.23
38,0.023825,90.34,0.031829,88.64
39,0.020048,91.19,0.021949,93.18
40,0.016745,93.75,0.049580,88.64
41,0.015892,94.32,0.043242,88.64
42,0.013216,94.32,0.039689,87.50
43,0.016144,93.75,0.040702,88.64
44,0.009863,95.74,0.039446,89.77
45,0.011177,94.89,0.045728,90.91
46,0.014661,94.60,0.044058,90.91
47,0.009332,96.02,0.043000,87.50
48,0.013954,95.17,0.043157,89.77
49,0.004681,99.15,0.056136,90.91
50,0.007446,96.59,0.045991,92.05
51,0.005476,98.01,0.044383,90.91
