epoch,train_loss,train_acc,val_loss,val_acc
1,0.087215,75.48,0.077211,85.51
2,0.007382,97.48,0.053509,95.41
3,0.002749,99.04,0.048312,92.93
4,0.004426,97.84,0.031716,97.53
5,0.002943,98.68,0.037454,97.17
6,0.004721,98.32,0.036809,95.41
7,0.006572,97.72,0.065666,91.17
8,0.005453,97.84,0.243827,73.85
9,0.020571,93.39,0.054809,92.23
10,0.041590,88.34,1.420881,46.29
11,0.034659,84.50,1.110855,65.37
12,0.028576,87.38,0.758243,6.36
13,0.029096,88.94,0.109419,75.27
14,0.026291,89.30,0.106973,89.40
15,0.016111,93.03,0.134381,84.45
16,0.015462,93.87,0.069776,86.57
17,0.018084,90.75,0.081749,85.51
18,0.008660,96.03,0.121065,86.93
19,0.017491,93.87,0.277717,61.48
20,0.025738,91.23,11.861953,37.46
21,0.025778,90.38,3.379972,89.75
22,0.018051,92.31,0.068938,81.27
23,0.038144,85.82,4.571887,48.76
24,0.014471,93.87,0.349941,69.61
25,0.030352,88.22,0.219729,66.08
26,0.013727,93.63,0.090822,85.16
27,0.012921,94.59,0.056739,82.33
28,0.008380,96.39,0.057869,82.33
29,0.005034,97.72,0.031682,92.23
30,0.005902,97.60,0.048125,86.93
31,0.005054,97.48,0.035309,91.87
32,0.006705,97.24,0.143478,93.29
33,0.019313,91.71,0.456410,67.49
34,0.019428,90.02,0.091493,81.98
35,0.006946,96.75,0.065458,87.63
36,0.004935,97.24,0.057452,81.63
37,0.005860,97.12,0.041610,89.75
38,0.010033,96.63,0.045363,90.81
39,0.003298,98.68,0.031532,91.17
40,0.004105,97.72,0.042347,91.87
41,0.004629,97.96,0.030399,94.70
42,0.004347,98.20,0.038794,91.52
43,0.005971,97.60,0.060989,91.52
44,0.004026,98.32,0.039990,91.52
45,0.002543,98.56,0.034333,90.81
46,0.003001,98.68,0.070215,91.87
47,0.002149,98.92,0.070923,86.93
48,0.000645,99.76,0.050222,89.75
49,0.003672,98.68,0.031414,94.70
50,0.002416,98.68,0.044366,94.35
51,0.001918,98.92,0.042799,93.64
52,0.001376,99.28,0.049840,93.64
53,0.001211,99.40,0.052855,93.99
